id,user_id,state,subject,conversation_created_at_business,first_response_at_business,first_closed_at_business,last_closed_at_business
263c7e9022713fa39b62ac583fd26701,1234,closed,Porridge too hot,2021-03-24 19:29:23.000,2021-03-25 08:29:20.000,2021-01-28 08:00:00.000,2021-01-28 14:22:48.000
af23d77bb2d304f5649da474b81fedeb,1234,closed,Porridge too cold,2021-01-04 10:01:34.000,2021-01-05 09:54:29.000,2021-01-07 15:01:43.000,2021-01-07 15:01:43.000
e8b40b51ae64949c2f3bac987840f042,1234,closed,Porridge just right!,2021-01-07 19:54:44.000,2021-01-08 08:58:34.000,2021-01-13 15:14:04.000,2021-01-13 15:14:04.000
793a0185de6dd851e395743c8c84b939,1234,closed,Bed too firm,2021-01-04 08:00:00.000,2021-01-05 09:53:02.000,2021-01-07 15:01:57.000,2021-01-07 15:01:57.000
f2721518d728f1a359517d1e1d432424,1234,closed,Bed too soft,2021-02-01 08:00:00.000,2021-02-02 08:18:24.000,2021-02-01 08:20:18.000,2021-02-02 08:18:36.000
8995d903fb57323dbc6821a0aee9cfa4,1234,closed,Bed just right! Can I have it?,2021-01-20 13:03:09.000,2021-01-20 13:29:37.000,2021-01-20 15:00:57.000,2021-03-17 12:44:53.000
aa0dfd6e6b3722d485f29cb09e1a2683,1234,closed,Chair is too big,2021-01-28 17:13:50.000,2021-01-28 17:27:10.000,2021-01-29 11:45:36.000,2021-01-29 11:45:36.000
ee02aaa6e76c087e34211df44b694123,1234,closed,Chair is too small,2021-03-17 09:44:29.000,2021-03-17 09:51:07.000,2021-03-18 16:32:07.000,2021-03-18 16:32:07.000
fc7ee5d4cbb678b7f85de637ff20496d,1234,closed,Chair is just right,2021-03-12 14:34:40.000,2021-03-12 14:57:09.000,2021-03-15 16:03:44.000,2021-03-15 16:03:44.000
618e94c101c6b0ffd3b0ac887dc9e30b,5432,open,Someone was in my home,2021-01-27 19:50:06.000,2021-01-27 19:51:38.000,,
